"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"90","b.d.o.",NA,"yes",409,2020-03-23 11:59:06,NA,"yrs or more",NA,NA,NA,9088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to beo for the construction of road as children have to sit under the dilapidated structure when studying under the dangerous structure for education.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","governance and accountability",NA,"village","shikha paharin",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beo",NA,NA,"jh_818_mojo","low quality service delivery of entitlement provision",2022-11-18 10:42:09,"khatkhura",NA,2020-03-23,"https://youtu.be/svn6v0yqo3a"
"91","b.d.o.",NA,"yes",409,2019-12-27 12:37:31,NA,"yrs or more",NA,NA,NA,8363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to bdo for immediate allocation of housing loan for a good shelter.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","governance and accountability",NA,"village","shikha paharin",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_743_mojo","denial of service delivery or entitlement provision",2022-11-18 10:42:09,"digri",NA,2019-12-27,"https://youtu.be/9kz3tgstzyc"
"92","b.d.o.",NA,"yes",409,2020-03-23 12:15:17,NA,"yrs or more",NA,NA,NA,9090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to bdo for immediate construction of road as patients and pregnant women are facing the problem of communication which needs to be addressed soon.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","governance and accountability",NA,"village","shikha paharin",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7250394848",NA,NA,"jh_819_mojo","denial of service delivery or entitlement provision",2022-11-18 10:42:09,"khatkhura",NA,2020-03-23,"https://youtu.be/jknpefyuwo4"
"93","b.d.o.",NA,"yes",409,2019-12-27 12:46:46,NA,"yrs or more",NA,NA,NA,8364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to bdo for a housing to get for the family to stay.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","governance and accountability",NA,"household","shikha paharin",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_744_mojo","delayed service delivery or entitlement provision",2022-11-18 10:42:09,"kello",NA,2019-12-27,"https://youtu.be/fel-mgphxh8"
"94","b.d.o.",NA,"yes",409,2020-01-27 10:54:14,NA,"2-4 yrs",NA,NA,NA,8615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to bdo for immediate inclusion of 6 members name in the ration card, so that only 5 kg rice not sufficient for 7 members run family in particular.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"livelihoods","governance and accountability",NA,"household","shikha paharin",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_774_mojo","low quality service delivery of entitlement provision",2022-11-18 10:42:09,"sode",NA,2020-01-27,"https://www.facebook.com/jharkhandunheard/videos/177885233426825/"
"95","b.d.o.",NA,"yes",409,2020-01-23 12:22:40,NA,"yrs or more",NA,NA,NA,8596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to bdo for urgent inclusion of the person for the pension at this age of 66 to get his livelihood option in getting pension.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"livelihoods","governance and accountability",NA,"household","shikha paharin",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_769_mojo","delayed service delivery or entitlement provision",2022-11-18 10:42:09,"khatkhura",NA,2020-01-23,"https://youtu.be/xj-eor1pikq"
"96","department bureaucrat",NA,"yes",409,2019-06-04 05:53:51,NA,"2-4 yrs",NA,"no",NA,6190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to dwso for quick action for making available of water. so people are being facing the problem of rainy season. because the rain water enter into the well with outside water  become dirty and un-hygienic.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sanitation","governance and accountability",NA,"village","shikha paharin",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drinking water and sanitation officer",NA,NA,"jh_562_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"digri",NA,2019-05-31,NA
"97","bdo, department bureaucrat-block level","government official","yes",409,2021-03-17 12:28:22,"amrita anand","last 1 year","sign an application","no","green rasan card",1578,"22 people including 5 families were not getting ration. these families were facing a lot of trouble during the lockdown. according to the order of the state government, a provision was made to make green card in the state. beneficiaries submitted the application for this card in the block office in october 2020. march main video banane ke ke samay ravinder samuday ke sath kar meeting kar kiye aur avedan bhi tayar kiye. phir prakhand aapruti adhikari ko diye. baith kar baat bhi kiye with him. this meeting is march 2021 main. iske baad ravinder ne lagatar follow up kiya jiste karran impact aaya","yes","no","yes",30,"yes",1,"no","no","no","no","no","the beneficiaries & prakhand aapruti adhikari",2021-08-31,"no",0,1,"yes","block development officer or other block officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","visiting the relevant authorities","jh_5191_impact",NA,NA,TRUE,"anti poverty programs","health",2021-03-16,"village","shikha paharin","no",22,22,1,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-12-12,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the block to find out what's going on","jh_5191","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"kotanger",1,2021-03-17,"https://youtu.be/xgcdn49zvik"
"98","district collector, department bureaucrat-block level, department bureaucrat-district level","government official","yes",409,2021-10-17 23:52:57,"ravinder baraik","yrs or more","sign an application","no","pradhan mantri saubhagya yojana",2849,NA,"yes","yes",NA,80,"yes",2,"no","no","no","no",NA,NA,NA,"no",2,2,"yes","block development officer or other block officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"power & energy","health",2021-11-24,"village","shikha paharin","no",450,NA,NA,"tribals, adivasi, scheduled tribe, women, elderly, no particular groups is affected -- the problem is cross-cutting","yes","community members",12,"yes","community members",2,10,"yes","no",2021-10-18,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5289","denial of service delivery or entitlement provision",2022-03-30 13:01:53,"revenue village khatkhura, toli, olgener, urmunda raibeda.",NA,2021-11-26,"https://youtu.be/dtzny-yk-ls"
"99","district collector, department bureaucrat-block level, department bureaucrat-district level","government official","yes",409,2021-10-17 23:52:57,"ravinder baraik","yrs or more","visit a government office","no","pradhan mantri saubhagya yojana",2849,NA,"yes","yes",NA,80,"yes",2,"no","no","no","no",NA,NA,NA,"no",2,2,"yes","block development officer or other block officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"power & energy","health",2021-11-24,"village","shikha paharin","no",450,NA,NA,"tribals, adivasi, scheduled tribe, women, elderly, no particular groups is affected -- the problem is cross-cutting","yes","community members",12,"yes","community members",2,10,"yes","no",2021-10-18,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5289","denial of service delivery or entitlement provision",2022-03-30 13:01:53,"revenue village khatkhura, toli, olgener, urmunda raibeda.",NA,2021-11-26,"https://youtu.be/dtzny-yk-ls"
"100","bdo, department bureaucrat-block level","government official","yes",409,2021-07-30 17:15:49,"ravinder baraik","last 6 months","sign an application","no",NA,2364,"district-khuti block-raniya, panchayat-khantaga, village-digri barka toli, ward no. 01 due to the failure of hand pump since march 2021, 80 people including 20 families were facing a lot of trouble for pure water. there is a well at a distance of half a kilo meter, which is now washed away by dirty water in the rains, 80 people are drinking the same dirty water, who can fall sick anytime. on sept 2021, the villagers have called cc ravinder. ravider ne ispar video banaya aur sath main gaon main ek baithak ki. sub-divisional officer, drinking water and sanitation sub-divisional, torpa (block) [phed department] during bathak wrote an application. then on 13 sept 2021, the vehicle was also applied. avedan dete samay jr. meet the engineer too. gave him an application. iske baad ravinder phone pe unse sampark pe bane rahe. then on 2nd october 2021, along with district adhyaksh, ravinder again parted with phed. he was warned that soon chapakal will be banned. it's been 2 months since 17th nov. in 2021, a log will be issued for the maintenance of handpumps and 1 handpump ban has also been prepared. (to this, what has changed in the life of the community?","yes","no","yes",20,"yes",1,"no","no","no","no","no","the beneficiaries",2022-02-10,"no",0,2,"yes","panchayat officials, district collector or district officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities","jh_5252_impact",2022-02-24,"https://youtu.be/b82vmlmms1o",TRUE,"water","health",2021-10-04,"tola/hamlet","shikha paharin","no",80,80,6,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no","community members",5,20,"yes","no",2021-07-30,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5252","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"village-degree barka toli ward s 01",1,2021-10-06,"https://youtu.be/8jqn7vtsho8"
"101","bdo, department bureaucrat-block level","government official","yes",409,2021-07-30 17:15:49,"ravinder baraik","last 6 months","visit a government office","no",NA,2364,"district-khuti block-raniya, panchayat-khantaga, village-digri barka toli, ward no. 01 due to the failure of hand pump since march 2021, 80 people including 20 families were facing a lot of trouble for pure water. there is a well at a distance of half a kilo meter, which is now washed away by dirty water in the rains, 80 people are drinking the same dirty water, who can fall sick anytime. on sept 2021, the villagers have called cc ravinder. ravider ne ispar video banaya aur sath main gaon main ek baithak ki. sub-divisional officer, drinking water and sanitation sub-divisional, torpa (block) [phed department] during bathak wrote an application. then on 13 sept 2021, the vehicle was also applied. avedan dete samay jr. meet the engineer too. gave him an application. iske baad ravinder phone pe unse sampark pe bane rahe. then on 2nd october 2021, along with district adhyaksh, ravinder again parted with phed. he was warned that soon chapakal will be banned. it's been 2 months since 17th nov. in 2021, a log will be issued for the maintenance of handpumps and 1 handpump ban has also been prepared. (to this, what has changed in the life of the community?","yes","no","yes",20,"yes",1,"no","no","no","no","no","the beneficiaries",2022-02-10,"no",0,2,"yes","panchayat officials, district collector or district officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities","jh_5252_impact",2022-02-24,"https://youtu.be/b82vmlmms1o",TRUE,"water","health",2021-10-04,"tola/hamlet","shikha paharin","no",80,80,6,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no","community members",5,20,"yes","no",2021-07-30,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5252","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"village-degree barka toli ward s 01",1,2021-10-06,"https://youtu.be/8jqn7vtsho8"
"102","department bureaucrat-block level","government official","no",409,2022-02-08 23:28:30,"ravinder baraik","last 6 months","don't know yet","no",NA,3410,NA,"no","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","yes","no","no","others",NA,"yes","yes","no","no","don't know yet","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"water","health",2022-02-12,"village","shikha paharin","no",75,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2022-02-09,NA,"none of the above","they toured the village to find out what's going on","jh_5327","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"garai gowar toli",NA,2022-02-15,"https://youtu.be/2pyakcgnike"
"103","b.d.o.","government official","no",409,2020-10-07 02:45:16,"amrita anand","yrs or more","sign an application","no",NA,671,NA,"yes","no",NA,80,"yes",1,"no","no","no","no",NA,NA,NA,"no",NA,NA,"yes","panchayat officials, block development officer or other block officials","no","yes","no","yes","others",NA,"yes","yes","no","yes","informed people about a government program or entitlement","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device, speaking with the relevant authorities by phone",NA,NA,NA,FALSE,"crumbling infrastructure","indigenous peoples",2020-12-02,"tola/hamlet","shikha paharin","no",100,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-10-05,NA,"a material problem (eg delivery of a service, repair of infrastructure), adivasi issues","people came to him with their problems","jh_5046","denial of service delivery or entitlement provision, violation of indigenous/tribal rights",2022-03-30 13:01:53,"chalgida",NA,2020-12-15,"https://youtu.be/6bvhuyfjvbc"
